-
mod,CG8928,631862,624877,FBpp0085233,FBpp0073937,0.000,0.000,0.000,0.000,0.439,0.000,0.000,0.000,0.439
CG4278,eEF1delta,628863,628304,FBpp0080392,FBpp0079542,0.000,0.000,0.000,0.000,0.639,0.000,0.000,0.000,0.639
MRG15,Aos1,630229,629915,FBpp0082579,FBpp0082065,0.000,0.000,0.000,0.000,0.634,0.000,0.000,0.000,0.634
CG11920,CG11583,631195,624343,FBpp0084144,FBpp0073098,0.000,0.000,0.000,0.612,0.988,0.484,0.000,0.890,0.995
Art1,CG4278,629741,628863,FBpp0081780,FBpp0080392,0.000,0.000,0.000,0.000,0.825,0.000,0.000,0.000,0.825
snRNP2,mRpL30,629403,622830,FBpp0081234,FBpp0070650,0.000,0.000,0.000,0.000,0.560,0.000,0.000,0.000,0.560
CG11563,Aos1,631835,629915,FBpp0085192,FBpp0082065,0.000,0.000,0.000,0.000,0.631,0.000,0.000,0.000,0.631
Aos1,CG15220,629915,624520,FBpp0082065,FBpp0073380,0.000,0.000,0.000,0.000,0.902,0.000,0.000,0.000,0.901
MRG15,Gas41,630229,627962,FBpp0082579,FBpp0078992,0.000,0.000,0.000,0.000,0.188,0.757,0.720,0.155,0.943
me31B,ran,628321,624491,FBpp0079565,FBpp0073328,0.000,0.000,0.000,0.000,0.868,0.000,0.000,0.000,0.867
mod,Ard1,631862,626199,FBpp0085233,FBpp0076081,0.000,0.000,0.000,0.000,0.586,0.000,0.000,0.000,0.585
CG17768,Rpb5,634209,633109,FBpp0099642,FBpp0087332,0.064,0.000,0.321,0.000,0.520,0.000,0.000,0.000,0.653
CG31287,l(2)35Cc,630317,628781,FBpp0082710,FBpp0080268,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.000,0.540
CG8258,Hel25E,633319,627811,FBpp0087764,FBpp0078754,0.000,0.000,0.000,0.000,0.721,0.000,0.000,0.000,0.721
snRNP2,PDCD-5,629403,625675,FBpp0081234,FBpp0075238,0.000,0.000,0.000,0.000,0.452,0.000,0.000,0.000,0.452
